Station,Lines
Charles de Gaulle - Étoile,rer-a
Kléber,metro-6
Boutigny,rer-d
Maisse,rer-d
Allée de la Tour - Rendez-Vous,tram-4
Les Coquetiers,tram-4
Robert Schuman,tram-7
Rue des Boulets,metro-9
Gare de Lyon,metro-1
Gare de Lyon,metro-14
Gare de Lyon,rer-a
Gare de Lyon,rer-d
Gare de Lyon,train-r
Sèvres - Rive Gauche,train-n
Brétigny,rer-c
Mairie d'Ivry,metro-7
Pierre et Marie Curie,metro-7
Ivry-sur-Seine,rer-c
Musée de Sèvres,tram-2
Gentilly,rer-b
Cité universitaire,tram-3a
Cité universitaire,rer-b
Bastille,metro-1
Bastille,metro-5
Bastille,metro-8
Bobigny - Pantin - Raymond Queneau,metro-5
Meaux,train-p
Trilport,train-p
Quatre Routes,tram-1
Inovel Parc Nord,tram-6
Louvois,tram-6
Mairie de Vélizy,tram-6
Chanteloup-les-Vignes,train-j
Gargan,tram-4
Presles - Courcelles,train-h
Eragny - Neuville,train-j
Pont de Levallois - Bécon,metro-3
Meulan - Hardricourt,train-j
Les Mureaux,train-j
Thun-le-Paradis,train-j
Le Guichet,rer-b
Château-Landon,metro-7
Colonel Fabien,metro-2
Bir-Hakeim (Tour Eiffel),metro-6
Pont de Bezons,tram-2
Nangis,train-p
Lamarck - Caulaincourt,metro-12
Guy Môquet,metro-13
Saint-Marcel,metro-5
Villeneuve - Triage,rer-d
Les Cholettes,tram-5
Bures-sur-Yvette,rer-b
Michel-Ange - Auteuil,metro-9
Michel-Ange - Auteuil,metro-10
Bellevue,train-n
Brimborion,tram-2
Les Sablons (Jardin d'Acclimatation),metro-1
Jean Moulin,tram-3a
Bouray,rer-c
Lardy,rer-c
Marolles-en-Hurepoix,rer-c
Aubervilliers - Pantin - Quatre Chemins,metro-7
Pierrelaye,rer-c
Pierrelaye,train-h
Champagne-sur-Seine,train-r
Montgallet,metro-8
Place de Clichy,metro-2
Place de Clichy,metro-13
Boissière,metro-6
Victor Hugo,metro-2
Timbaud,tram-1
Le Village,tram-1
Juziers,train-j
Aubergenville - Elisabethville,train-j
Stade Géo André,tram-1
Bondy,tram-4
Bondy,rer-e
Mail de la Plaine,tram-6
Beynes,train-n
Villiers - Neauphle - Pontchartrain,train-n
Montfort-l'Amaury - Méré,train-n
Villepinte,rer-b
Parc des Expositions,rer-b
Porte de la Villette,metro-7
Porte de la Villette,tram-3b
Nanterre - Préfecture,rer-a
Tournan,rer-e
Tournan,train-p
Gretz-Armainvilliers,rer-e
Nézel - Aulnay,train-n
Vauban,tram-6
Porte d'Ivry,metro-7
Porte d'Ivry,tram-3a
Olympiades,metro-14
La Fourche,metro-13
Maryse Bastié,tram-3a
Villeneuve-Saint-Georges,rer-d
Garibaldi,metro-13
Montigny-Beauchamp,rer-c
Montigny-Beauchamp,train-h
Falguière,metro-12
Montparnasse - Bienvenüe,metro-4
Montparnasse - Bienvenüe,metro-6
Montparnasse - Bienvenüe,metro-12
Montparnasse - Bienvenüe,metro-13
Montparnasse - Bienvenüe,train-n
Duroc,metro-10
Duroc,metro-13
Liège,metro-13
Europe,metro-3
Alcide d'Orbigny,tram-5
Mairie de Pierrefitte,tram-5
Jacques Prévert,tram-5
Saint-Paul (Le Marais),metro-1
Pont Marie (Cité des Arts),metro-7
Vavin,metro-4
Raspail,metro-4
Raspail,metro-6
Georges Brassens,tram-3a
Villennes-sur-Seine,train-j
Poissy,rer-a
Poissy,train-j
Le Vert-de-Maisons,rer-d
Survilliers-Fosses,rer-d
Louvres,rer-d
Epinettes - Pouchet,tram-3b
Porte de Saint-Ouen,metro-13
Porte de Saint-Ouen,tram-3b
Ris-Orangis,rer-d
Miromesnil,metro-9
Miromesnil,metro-13
Longueville,train-p
Charlebourg,tram-2
Aéroport Charles-de-Gaulle 2 TGV,rer-b
Aéroport Charles-de-Gaulle 1,rer-b
Porte de Pantin (Parc de la Villette),metro-5
Porte de Pantin (Parc de la Villette),tram-3b
Villiers - Montbarbin,train-p
Corvisart,metro-6
Tolbiac,metro-7
Glacière,metro-6
Grand-Bourg,rer-d
Clichy-sous-Bois Mairie,tram-4
Savigny-le-Temple - Nandy,rer-d
Gare de Saint-Germain-en-Laye - Bel-Air - Fourqueux,train-l
Saint-Germain-en-Laye - Grande-Ceinture,train-l
Orsay - Ville,rer-b
Notre-Dame-des-Champs,metro-12
Les Greves,tram-1
Romain Rolland,tram-4
Clichy - Montfermeil,tram-4
Argentine,metro-1
Chars,train-j
Vernon,train-j
L'Isle-Adam - Parmain,train-h
Valmondois,train-h
Isles - Armentières - Congis,train-p
Lizy-sur-Ourcq,train-p
Suzanne Lenglen,tram-2
Pasteur,metro-6
Pasteur,metro-12
Sèvres - Lecourbe,metro-6
Place d'Italie,metro-5
Place d'Italie,metro-6
Place d'Italie,metro-7
Gisors,train-j
Porte de Versailles (Parc des Expositions de Paris),metro-12
